一级主题,一级主题名称,二级代码,二级主题名称,候选词/短语,聚合相似度,触发种子数,最高单次相似度,来源种子示例,语料频次,是否原种子词,建议处理,判定依据,是否跨类高歧义,备注
A,数字治理接口与数据协同,A1,平台建设与在线办理,集成,6.207153081893921,8,0.8617717027664185,一网通办:0.862；政务服务网:0.852；网上审批:0.824,19,否,建议新增,相似度和频次较稳,是,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,热线电话,4.915464341640472,6,0.9060080051422119,一网通办:0.906；在线办理:0.857；政务服务网:0.847,14,否,建议新增,高相似+多种子支持,是,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,一口,1.7833649516105652,2,0.9406245946884155,网上办理:0.941；在线办理:0.843,18,否,建议新增,高相似+多种子支持,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,限时,1.6253451108932495,2,0.8212329149246216,网上办理:0.821；在线办理:0.804,55,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,网上,1.5835993885993958,2,0.8108273148536682,政务服务网:0.811；电子化:0.773,144,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,综合信息,1.5456755757331848,2,0.8430905938148499,平台:0.843；信息系统:0.703,943,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,城管,0.8569369912147522,1,0.8569369912147522,电子政务:0.857,132,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,集约化,0.8536744117736816,1,0.8536744117736816,一网通办:0.854,19,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,互联,5.593547582626343,7,0.8797805905342102,数据交换:0.880；数据共享:0.871；互联互通:0.856,12,否,建议新增,边界待核,是,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,集约化,3.905306577682495,5,0.8080633282661438,数据共享:0.808；互联互通:0.804；数据交换:0.779,19,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,交换,3.70148628950119,5,0.7888288497924805,数据交换:0.789；数据共享:0.751；归集:0.748,36,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,采集,3.078043282032013,4,0.8146154880523682,数据交换:0.815；数据共享:0.778；信息共享:0.748,60,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,实时,2.1510193943977356,3,0.779470682144165,动态更新:0.779；归集:0.691；联网:0.680,41,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,资源整合,1.5124292969703674,2,0.7649444937705994,汇聚:0.765；联通:0.747,10,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,贯通,0.8437812328338623,1,0.8437812328338623,联通:0.844,35,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,政务信息,2.7078593373298645,4,0.6870117783546448,公开发布:0.687；结果公开:0.676；披露:0.675,14,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,门户网站,2.177956759929657,3,0.7721208333969116,公开发布:0.772；公布:0.729；公示:0.677,96,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,阳光,2.006863057613373,3,0.6858938932418823,公开透明:0.686；过程公开:0.684；透明:0.637,77,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,专栏,1.4579020738601685,2,0.7589420080184937,公开发布:0.759；信息公开:0.699,38,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,知情权,1.436816155910492,2,0.7930597066879272,社会监督:0.793；信息公开:0.644,271,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,年度报告,1.4193953275680542,2,0.7302241921424866,披露:0.730；信息公开:0.689,18,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B1,项目识别、筛选与入库,备选,5.474392592906952,7,0.8862642049789429,备选项目:0.886；项目储备库:0.874；纳入项目库:0.826,40,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B1,项目识别、筛选与入库,筛选,4.70615953207016,6,0.8570627570152283,备选项目:0.857；项目筛选:0.825；项目储备库:0.799,907,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B1,项目识别、筛选与入库,储备库,3.7807515263557434,5,0.8038602471351624,项目储备库:0.804；入库:0.776；纳入项目库:0.764,87,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
