序号,province,year,文件名,topic,topic_name,topic_main_dimension,topic_secondary_code,topic_secondary_name,topic_match_strength
1,黑龙江,2015,黑龙江省人民政府办公厅关于建立黑龙江省推进...(FBM-CLI.14.1089403).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
2,黑龙江,2015,黑龙江省人民政府办公厅关于转发省财政厅省发...(FBM-CLI.14.1125876).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,1.0
3,黑龙江,2015,黑龙江省发展和改革委员会关于印发政府和社会...(FBM-CLI.12.1166544).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.125
4,黑龙江,2015,黑龙江省发展和改革委员会关于推广运用政府和...(FBM-CLI.12.7798317).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
5,黑龙江,2015,黑龙江省发展改革委关于推广运用政府和社会资...(FBM-CLI.12.2474502).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
6,黑龙江,2016,伊春市人民政府办公室关于印发伊春市推广运用...(FBM-CLI.12.1199875).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,1.0
7,黑龙江,2016,哈尔滨市人民政府关于推广运用政府和社会资本...(FBM-CLI.12.2341135).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,1.0
8,黑龙江,2016,哈尔滨市财政局关于印发哈尔滨市PPP项目管理暂...(FBM-CLI.12.2474412).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,1.0
9,黑龙江,2016,哈尔滨市财政局关于征集政府和社会资本合作(...(FBM-CLI.14.2474408).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.625
10,黑龙江,2016,鹤岗市人民政府办公室关于转发鹤岗市推广运用...(FBM-CLI.12.1267466).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.5
11,黑龙江,2016,黑龙江省人民政府办公厅关于切实做好政府和社...(FBM-CLI.12.1217638).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.375
12,黑龙江,2016,黑龙江省住房和城乡建设厅关于采取PPP模式建设...(FBM-CLI.12.1261957).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.375
13,黑龙江,2016,黑龙江省科学技术厅关于转发“关于组织开展第...(FBM-CLI.14.5788958).txt,13,13_申报_第四批_第三批_申报 筛选,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375
