序号,文件名,text_len,A1_pred,A2_pred,B1_pred,B2_pred,B3_pred,B4_pred,C1_pred,C2_pred,C3_pred,A1_score,A2_score,B1_score,B2_score,B3_score,B4_score,C1_score,C2_score,C3_score
1,黑龙江省人民政府办公厅关于建立黑龙江省推进...(FBM-CLI.14.1089403).txt,1081,0,1,1,0,0,0,0,0,0,-0.34101278582225686,0.8260392453335766,0.7023355694107617,-0.12421324356685881,-0.06224840646859853,-0.11598299673882273,-0.45845362032416914,-0.4107711003655151,-0.6633518678423199
2,黑龙江省人民政府办公厅关于转发省财政厅省发...(FBM-CLI.14.1125876).txt,6131,0,1,1,1,1,1,1,1,0,-0.09044928157491966,0.7874155856557022,0.9226591089559312,0.6570270951456707,0.7542399381680867,0.7695594083490453,0.5507237905064329,0.04910966649181886,-0.892880779459216
3,黑龙江省发展和改革委员会关于印发政府和社会...(FBM-CLI.12.1166544).txt,2783,1,1,1,1,1,1,1,1,0,0.23965255960471477,0.7501890658484547,0.9165729757901837,0.7512179329386803,0.8384443111224292,0.7852814088259914,0.7527333294674092,0.09683718830399013,-0.7680199307946338
4,黑龙江省发展和改革委员会关于推广运用政府和...(FBM-CLI.12.7798317).txt,14727,1,1,1,1,1,1,1,1,0,0.7685249979078976,0.9922368818299587,0.9807871580734779,0.9895819519988218,1.047178919938201,0.9742070177634423,0.5192954596092954,1.1043928493855182,-1.0349116228753803
5,黑龙江省发展改革委关于推广运用政府和社会资...(FBM-CLI.12.2474502).txt,2786,1,1,1,1,1,1,1,1,0,0.806794557888062,0.9765714947110088,0.914409421446392,1.0541259794330493,1.0165031134907891,1.0120312479178908,0.6545272405386322,1.3392203607837156,-0.9820626029960384
6,伊春市人民政府办公室关于印发伊春市推广运用...(FBM-CLI.12.1199875).txt,4367,0,1,1,1,1,1,1,1,0,-0.04517562066545039,0.6360548111109807,1.0020444158642146,0.9488848449391039,0.9192077408439845,0.9801168486683232,0.7535612262228935,0.05252428822974131,-0.6361600497363393
7,哈尔滨市人民政府关于推广运用政府和社会资本...(FBM-CLI.12.2341135).txt,5469,1,1,1,1,1,1,1,1,0,0.26406683952689436,1.0195839781652607,1.0432540128749492,1.0852335696887712,0.9315682402283552,0.9442926690457325,1.0827309578439295,0.4553232847148246,-0.8544193270266651
8,哈尔滨市财政局关于印发哈尔滨市PPP项目管理暂...(FBM-CLI.12.2474412).txt,7681,0,1,1,1,1,1,1,1,0,-0.30873026793865277,0.6707674524421945,1.1223699588306055,1.0835824198710005,0.9527652256682024,1.1950612201679278,0.5426813062183544,0.2986349194795152,-0.5128775033279733
9,哈尔滨市财政局关于征集政府和社会资本合作(...(FBM-CLI.14.2474408).txt,1079,1,1,1,1,1,1,1,0,0,0.020743044256200827,0.8211929962578471,0.6834615651550753,0.5973161674967287,0.49314587886396866,0.6727091102481666,0.7044002879983442,-0.07274882246067887,-0.5247399179894359
10,鹤岗市人民政府办公室关于转发鹤岗市推广运用...(FBM-CLI.12.1267466).txt,6194,1,1,1,1,1,1,1,1,0,0.24277095568325713,1.0484704772553761,1.0703626426286115,0.9338378347806937,0.833090357344038,0.7424295479632016,1.0164554301018507,0.2597540686037469,-0.6681623509608211
