序号,一级子文件夹,province,相对路径,文件名,year,topic,topic_name,topic_main_dimension,topic_secondary_code,topic_secondary_name,topic_match_strength,char_len,sentence_count,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,z_A_idx,A_share,B_cnt,B_idx,z_B_idx,B_share,C_cnt,C_idx,z_C_idx,C_share,D_cnt,D_idx,z_D_idx,D_share,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share,ppp_governance_capacity_index,ppp_norm_risk_index,text_observed,text_missing
1,黑龙江（30）,黑龙江,黑龙江（30）\2015年（5）\黑龙江省人民政府办公厅关于建立黑龙江省推进...(FBM-CLI.14.1089403).txt,黑龙江省人民政府办公厅关于建立黑龙江省推进...(FBM-CLI.14.1089403).txt,2015.0,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25,1028,15,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,38.91050583657588,1.0,0,0.0,0.0,1,9.72762645914397,0.0,11,107.00389105058366,0.0,0,0.0,0.0,0,0.0,0.0,3,29.182879377431902,0.0,0,0.0,-0.6018154382222797,0.0,4,38.91050583657588,-0.3820000932746618,1.0,12,116.73151750972764,-0.4571415994293515,0.0,3,29.182879377431902,-0.0428100212979354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4803190436420976,-0.2939839046673163,1,0
2,黑龙江（30）,黑龙江,黑龙江（30）\2015年（5）\黑龙江省人民政府办公厅关于转发省财政厅省发...(FBM-CLI.14.1125876).txt,黑龙江省人民政府办公厅关于转发省财政厅省发...(FBM-CLI.14.1125876).txt,2015.0,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,1.0,6099,99,15,24.59419576979833,0.0,2,3.279226102639777,0.0,10,16.396130513198884,0.0,14,22.95458271847844,0.0,7,11.47729135923922,0.0,16,26.233808821118217,0.0,12,19.675356615838663,0.0,23,37.71110018035744,1.0,72,118.05213969503195,0.0,2,3.279226102639777,0.0,6,9.837678307919331,0.0,14,22.95458271847844,0.0,27,44.26955238563699,0.27366375462166,0.0,37,60.66568289883588,0.0004400798052114,0.0,107,175.43859649122803,0.0961312306830251,1.0,22,36.07148712903755,0.1514414827435729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1234116883699655,0.0826709310772698,1,0
3,黑龙江（30）,黑龙江,黑龙江（30）\2015年（5）\黑龙江省发展和改革委员会关于印发政府和社会...(FBM-CLI.12.1166544).txt,黑龙江省发展和改革委员会关于印发政府和社会...(FBM-CLI.12.1166544).txt,2015.0,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.125,2716,36,0,0.0,0.0,0,0.0,0.0,3,11.045655375552284,0.0,1,3.681885125184094,0.0,0,0.0,0.0,6,22.091310751104565,0.0,6,22.091310751104565,1.0,2,7.363770250368188,0.0,32,117.820324005891,0.0,0,0.0,0.0,0,0.0,0.0,10,36.81885125184094,0.0,3,11.045655375552284,-0.3833754285203001,0.0,7,25.77319587628866,-0.6129444372640301,0.0,40,147.27540500736376,-0.1692869936197801,1.0,10,36.81885125184094,0.1725163661098645,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3885356198013701,-0.2032383549246486,1,0
4,黑龙江（30）,黑龙江,黑龙江（30）\2015年（5）\黑龙江省发展和改革委员会关于推广运用政府和...(FBM-CLI.12.7798317).txt,黑龙江省发展和改革委员会关于推广运用政府和...(FBM-CLI.12.7798317).txt,2015.0,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0,14212,343,0,0.0,0.0,0,0.0,0.0,19,13.36898395721925,0.0,3,2.110892203771461,0.0,0,0.0,0.0,19,13.36898395721925,0.0,14,9.850830284266817,0.0,270,189.98029833943147,0.0,215,151.28060793695468,1.0,0,0.0,0.0,127,89.36110329299184,0.0,27,18.998029833943143,0.0,19,13.36898395721925,-0.337429045017923,0.0,22,15.47987616099071,-0.7938935034205192,0.0,499,351.11173656065296,1.7517267238869452,1.0,154,108.359133126935,2.189877181951254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2068013918161676,1.0492368008058934,1,0
5,黑龙江（30）,黑龙江,黑龙江（30）\2015年（5）\黑龙江省发展改革委关于推广运用政府和社会资...(FBM-CLI.12.2474502).txt,黑龙江省发展改革委关于推广运用政府和社会资...(FBM-CLI.12.2474502).txt,2015.0,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0,2758,53,0,0.0,0.0,0,0.0,0.0,10,36.25815808556926,0.0,3,10.877447425670775,0.0,0,0.0,0.0,17,61.63886874546773,0.0,9,32.63234227701233,0.0,17,61.63886874546773,0.0,50,181.29079042784625,1.0,0,0.0,0.0,9,32.63234227701233,0.0,2,7.25163161711385,0.0,10,36.25815808556926,0.1152296020854027,0.0,20,72.51631617113851,0.2087655844331526,0.0,76,275.5620014503263,1.039723734061773,1.0,11,39.88397389412618,0.2589496055691455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4545729735267761,0.5024796413546905,1,0
6,黑龙江（30）,黑龙江,黑龙江（30）\2016年（10）\伊春市人民政府办公室关于印发伊春市推广运用...(FBM-CLI.12.1199875).txt,伊春市人民政府办公室关于印发伊春市推广运用...(FBM-CLI.12.1199875).txt,2016.0,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,1.0,4338,76,4,9.220839096357768,0.0,1,2.305209774089442,0.0,8,18.441678192715536,0.0,8,18.441678192715536,0.0,8,18.441678192715536,0.0,20,46.10419548178884,0.0,6,13.831258644536652,0.0,19,43.7989857076994,1.0,62,142.92300599354542,0.0,1,2.305209774089442,0.0,6,13.831258644536652,0.0,12,27.662517289073307,0.0,13,29.967727063162744,-0.0091706047692681,0.0,36,82.9875518672199,0.3928422839933952,0.0,87,200.55325034578144,0.3328191370900208,1.0,19,43.7989857076994,0.3693488270881252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2388302721047159,0.3650034160571804,1,0
7,黑龙江（30）,黑龙江,黑龙江（30）\2016年（10）\哈尔滨市人民政府关于推广运用政府和社会资本...(FBM-CLI.12.2341135).txt,哈尔滨市人民政府关于推广运用政府和社会资本...(FBM-CLI.12.2341135).txt,2016.0,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,1.0,5401,84,3,5.5545269394556565,0.0,0,0.0,0.0,16,29.62414367709684,0.0,11,20.36659877800407,0.0,9,16.66358081836697,0.0,35,64.80281429364932,0.0,23,42.5847065358267,0.0,27,49.99074245510091,1.0,93,172.19033512312535,0.0,1,1.851508979818552,0.0,5,9.25754489909276,0.0,17,31.47565265691539,0.0,19,35.178670616552495,0.0938815475618932,0.0,55,101.83299389002036,0.7241314336215717,0.0,143,264.76578411405296,0.9379769971472942,1.0,23,42.58470653582671,0.3351074297016113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5853299927769197,0.6657386201568257,1,0
8,黑龙江（30）,黑龙江,黑龙江（30）\2016年（10）\哈尔滨市财政局关于印发哈尔滨市PPP项目管理暂...(FBM-CLI.12.2474412).txt,哈尔滨市财政局关于印发哈尔滨市PPP项目管理暂...(FBM-CLI.12.2474412).txt,2016.0,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,1.0,7513,166,2,2.662052442433116,0.0,0,0.0,0.0,13,17.303340875815255,0.0,7,9.317183548515906,1.0,17,22.62744576068149,0.0,63,83.85465193664315,0.0,41,54.57207506987888,0.0,105,139.7577532277386,0.0,112,149.0749367762545,0.0,1,1.331026221216558,0.0,42,55.90310129109544,0.0,27,35.937707972847065,0.0,15,19.96539331824837,-0.2069777792640896,0.0,87,115.79928124584056,0.969648596656247,1.0,258,343.404765073872,1.6790939511436382,0.0,70,93.17183548515906,1.7616113384572063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8139215895119319,1.4701179620856972,1,0
9,黑龙江（30）,黑龙江,黑龙江（30）\2016年（10）\哈尔滨市财政局关于征集政府和社会资本合作(...(FBM-CLI.14.2474408).txt,哈尔滨市财政局关于征集政府和社会资本合作(...(FBM-CLI.14.2474408).txt,2016.0,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.625,1057,12,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,18.92147587511825,0.0,0,0.0,0.0,1,9.460737937559127,0.0,0,0.0,0.0,1,9.460737937559127,1.0,11,104.06811731315044,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.6018154382222797,0.0,3,28.382213812677385,-0.5670798015359243,0.0,12,113.52885525070955,-0.4873244333001934,1.0,0,0.0,-0.8657365712973513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5520732243527992,-0.640046935377823,1,0
10,黑龙江（30）,黑龙江,黑龙江（30）\2016年（10）\鹤岗市人民政府办公室关于转发鹤岗市推广运用...(FBM-CLI.12.1267466).txt,鹤岗市人民政府办公室关于转发鹤岗市推广运用...(FBM-CLI.12.1267466).txt,2016.0,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.5,6137,126,5,8.147303242626691,0.0,1,1.6294606485253382,0.0,14,22.81244907935473,0.0,11,17.924067133778717,0.0,5,8.147303242626691,0.0,47,76.5846504806909,0.0,9,14.665145836728042,0.0,25,40.736516213133456,1.0,91,148.28091901580578,0.0,0,0.0,0.0,19,30.959752321981423,0.0,17,27.700831024930743,0.0,20,32.589212970506765,0.0426721684808613,0.0,63,102.65602085709632,0.7385996484670375,0.0,125,203.68258106566728,0.3623108729042726,1.0,36,58.660583346912176,0.7884302725665553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3811942299507238,0.6297802646459552,1,0
