block,outcome,term,coef,p_value,N
区域异质性,exec_share,treat_share,0.4188020799727366,6.744359443414158e-05,262
区域异质性,exec_share,treat_share:east,3.7612275170280087,0.4244902902542822,262
区域异质性,exec_share,treat_share:west,-0.32466818087562865,0.23934512131202967,262
数字经济高低,exec_share,treat_share,0.3401016157717686,0.000720556185591469,262
数字经济高低,exec_share,treat_share:high_mean_digital_econ,3.14483741875846,0.1955992222990569,262
数字金融高低,exec_share,treat_share,1.8271463367204022,0.015726784752719318,262
数字金融高低,exec_share,treat_share:high_mean_dfi,-1.5066008267834037,0.057521142556885285,262
治理基础高低,exec_share,treat_share,0.3813218744919969,0.0013439912067403355,262
治理基础高低,exec_share,treat_share:high_baseline_gov,-0.10954014413903629,0.7253021136289222,262
区域异质性,proc_share,treat_share,-0.4554007351933249,3.2252633117091384e-06,262
区域异质性,proc_share,treat_share:east,-3.3912053063295184,0.47071413977239396,262
区域异质性,proc_share,treat_share:west,0.27451380293221356,0.26800953419841866,262
数字经济高低,proc_share,treat_share,-0.39088096068495415,0.00020217885235936274,262
数字经济高低,proc_share,treat_share:high_mean_digital_econ,-2.308386844252415,0.38567092371386846,262
数字金融高低,proc_share,treat_share,-1.0821102389203543,0.24126967409516686,262
数字金融高低,proc_share,treat_share:high_mean_dfi,0.6960405157187172,0.4642468249336661,262
治理基础高低,proc_share,treat_share,-0.4547573882933517,0.0001864302363700646,262
治理基础高低,proc_share,treat_share:high_baseline_gov,0.22373387074881934,0.4247992234204524,262
区域异质性,ppp_quality_zindex,treat_share,0.6034416334442422,0.2655326563116397,262
区域异质性,ppp_quality_zindex,treat_share:east,6.6652191394318026,0.26479600994345465,262
区域异质性,ppp_quality_zindex,treat_share:west,-0.414829507179193,0.5950843811381438,262
数字经济高低,ppp_quality_zindex,treat_share,0.4775434880320901,0.2016072021384031,262
数字经济高低,ppp_quality_zindex,treat_share:high_mean_digital_econ,9.672547217576913,0.07634074554976929,262
数字金融高低,ppp_quality_zindex,treat_share,8.919318317483974,0.0007530512826107648,262
数字金融高低,ppp_quality_zindex,treat_share:high_mean_dfi,-8.594141643371511,0.0004777659323922536,262
治理基础高低,ppp_quality_zindex,treat_share,0.2717185277106559,0.3234870788693528,262
治理基础高低,ppp_quality_zindex,treat_share:high_baseline_gov,1.0810629661139723,0.43605483220025554,262
