depvar,spec,note,did_var,N,province_n,coef,se,t,p,r2,mean_dep,province_fe,year_fe,cluster,controls,coef_star,se_fmt
exec_share,baseline_treat_share,主规格锚定,treat_share,262,31,0.355627704752649,0.10016361299788676,3.5504680203593693,0.0003845468521959827,0.8391952879992306,0.7052353978701644,Yes,Yes,province,Yes,0.3556***,(0.1002)
exec_share,alt_treatment_did_any,替代处理变量：did_any,did_any,262,31,0.03407599531564012,0.034661301665591296,0.9831135496410911,0.3255515563143757,0.838801619438009,0.7052353978701644,Yes,Yes,province,Yes,0.0341,(0.0347)
exec_share,alt_treatment_did_intensity,替代处理变量：did_intensity,did_intensity,262,31,0.09272024790729147,0.07212538504955424,1.2855425013479982,0.19860277472418286,0.8394009795565798,0.7052353978701644,Yes,Yes,province,Yes,0.0927,(0.0721)
exec_share,lagged_controls,滞后一期控制变量,treat_share,231,31,0.44864039602160266,0.1245584036329073,3.6018476709433003,0.00031596349838867587,0.8486370165430608,0.6737818357859068,Yes,Yes,province,Yes,0.4486***,(0.1246)
exec_share,drop_extreme_years,剔除极端年份 2014 和 2022,treat_share,209,31,0.2691195961813759,0.13725927735954535,1.9606659845398102,0.04991799955368616,0.7357130170538826,0.7569393880072175,Yes,Yes,province,Yes,0.2691**,(0.1373)
exec_share,drop_special_regions,剔除直辖市、中央与兵团,treat_share,231,27,0.3519168233570095,0.07508597042045727,4.686851903043785,2.7743957727915527e-06,0.8626625239998224,0.696966965483298,Yes,Yes,province,Yes,0.3519***,(0.0751)
exec_share,text_sample_threshold_doccount_ge1,文本样本门槛：省年 doc_count >= 1,treat_share,201,31,0.1431102661273227,0.12859511336181348,1.1128748393779908,0.26576218744559366,0.8518966446428287,0.7317949718985536,Yes,Yes,province,Yes,0.1431,(0.1286)
proc_share,baseline_treat_share,主规格锚定,treat_share,262,31,-0.4022774860927175,0.10190900465635473,-3.947418458743947,7.899841080109329e-05,0.8437049043771,0.28090071039040365,Yes,Yes,province,Yes,-0.4023***,(0.1019)
proc_share,alt_treatment_did_any,替代处理变量：did_any,did_any,262,31,-0.08086998275446332,0.035800111472843205,-2.2589310319832006,0.02388767531459466,0.8440093312738877,0.28090071039040365,Yes,Yes,province,Yes,-0.0809**,(0.0358)
proc_share,alt_treatment_did_intensity,替代处理变量：did_intensity,did_intensity,262,31,-0.10611555069405529,0.07521478466122182,-1.4108336701622552,0.15829366392691635,0.8439871588896338,0.28090071039040365,Yes,Yes,province,Yes,-0.1061,(0.0752)
