depvar,spec,note,did_var,N,province_n,coef,se,t,p,r2,mean_dep,province_fe,year_fe,cluster,controls,coef_star,se_fmt,panel_version,estimation_note
exec_share,baseline_treat_share,主规格锚定,treat_share,262,31,0.3599903094733882,0.1008444520663655,3.5697581978677366,0.000357310888963697,0.8387394876875776,0.7052353978701644,Yes,Yes,province,Yes,0.3600***,(0.1008),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
proc_share,baseline_treat_share,主规格锚定,treat_share,262,31,-0.406537197635915,0.10229657208321632,-3.974103817527773,7.064474609288033e-05,0.8431380761542251,0.28090071039040365,Yes,Yes,province,Yes,-0.4065***,(0.1023),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
ppp_quality_zindex,baseline_treat_share,主规格锚定,treat_share,262,31,0.5226386601375392,0.45150381772280485,1.1575509212159236,0.24704734756370217,0.5937658870558118,0.00719446394250507,Yes,Yes,province,Yes,0.5226,(0.4515),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
vfm_pass_rate,baseline_treat_share,主规格锚定,treat_share,262,31,0.009830555110715816,0.011114121724239201,0.8845102973162506,0.3764208062253843,0.2051038629403561,0.9996183206106869,Yes,Yes,province,Yes,0.0098,(0.0111),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
exec_share,alt_treatment_did_any,替代处理变量：did_any,did_any,262,31,0.03485096539481445,0.03478173475521511,1.001990430899625,0.3163482144917923,0.8383404502402584,0.7052353978701644,Yes,Yes,province,Yes,0.0349,(0.0348),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
proc_share,alt_treatment_did_any,替代处理变量：did_any,did_any,262,31,-0.08144856157175745,0.035237924622960236,-2.3113892898984014,0.02081136199425407,0.843445733350643,0.28090071039040365,Yes,Yes,province,Yes,-0.0814**,(0.0352),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
ppp_quality_zindex,alt_treatment_did_any,替代处理变量：did_any,did_any,262,31,-0.08183470103345589,0.16536772623720392,-0.4948650071905323,0.6206954130051948,0.5936708537926165,0.00719446394250507,Yes,Yes,province,Yes,-0.0818,(0.1654),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
vfm_pass_rate,alt_treatment_did_any,替代处理变量：did_any,did_any,262,31,0.0028631316547277907,0.0028572635929185733,1.0020537348474816,0.3163176410347788,0.20781189749711615,0.9996183206106869,Yes,Yes,province,Yes,0.0029,(0.0029),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
exec_share,alt_treatment_did_intensity,替代处理变量：did_intensity,did_intensity,262,31,0.06791871497683992,0.08055397128590931,0.8431454575439463,0.3991470981666463,0.8386103336051174,0.7052353978701644,Yes,Yes,province,Yes,0.0679,(0.0806),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
proc_share,alt_treatment_did_intensity,替代处理变量：did_intensity,did_intensity,262,31,-0.07746227815834168,0.08338332819124324,-0.92899000122277,0.35289426814732183,0.8429877454636733,0.28090071039040365,Yes,Yes,province,Yes,-0.0775,(0.0834),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
ppp_quality_zindex,alt_treatment_did_intensity,替代处理变量：did_intensity,did_intensity,262,31,-0.046626885492415504,0.14111066155886456,-0.3304278002620306,0.7410767384876591,0.5931958673554025,0.00719446394250507,Yes,Yes,province,Yes,-0.0466,(0.1411),V3 re-estimated,Current V3 panel; province/year FE; clustered by province
