province,year,ppp_doc_n,ppp_inv,ln_ppp_doc_n,ln_ppp_inv,exec_share,proc_share,prep_share,fiscal_pass_rate,vfm_pass_rate,ppp_quality_zindex,did_intensity,did_any,treat_share,post,city_n,dfi,digital_econ,base_station_density,software_gdp_share,it_service_gdp_share,rd_expenditure,tech_contract_value,patent_grants,ln_rd_expenditure,ln_tech_contract_value,ln_patent_grants,doc_count,total_chars,total_sentences,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,A_share,B_cnt,B_idx,B_share,C_cnt,C_idx,C_share,D_cnt,D_idx,D_share,z_A_idx,z_B_idx,z_C_idx,z_D_idx,ppp_governance_capacity_index,ppp_norm_risk_index,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share,text_missing,text_observed,treat_share_x_text_missing,province_harmonized,region_scheme,baseline_controls_complete,baseline_sample_5_3,panel_version,pca_usage_flag
上海,2015,3,1994.5373,1.386294361119891,7.598668616371222,1.0,0.0,0.0,1,1.0,0.424577472469583,0.0,0,1.0,0,1.0,239.53,0.2207063,10.093841,0.134589397554874,0.0802365917101353,4742443.3,6637837.97,60623.0,15.37206323586203,15.70829701215491,11.01244613325838,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,上海,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
上海,2016,1,18.0,0.6931471805599453,2.94443897916644,1.0,0.0,0.0,1,1.0,0.424577472469583,1.0,1,1.0,1,1.0,278.11,0.2418914,13.405883,0.13541670732984,0.0865406965912136,4900778.0,7809858.08,64230.0,15.40490473003678,15.87089747811915,11.07024123917937,1,4489,67,3,6.683002895967921,0,0,0.0,0,12,26.73201158387169,0.0,4,8.91067052795723,0.0,4,8.91067052795723,0.0,19,42.32568500779684,0.0,5,11.13833815994654,0.0,22,49.00868790376476,1.0,83,184.8964134551125,0.0,1,2.227667631989307,0,18,40.09801737580753,0,13,28.95967921586099,0,15,33.41501447983961,0.0,27,60.14702606371129,0.0,110,245.0434395188238,1.0,32,71.28536422365784,0,-0.0570189673084284,-0.0959226389512454,0.8090774006595711,0.9735927459868,0.2187119314666324,0.5622491692317085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0.0,上海,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
上海,2017,1,306.21,0.6931471805599453,5.727531552827043,1.0,0.0,0.0,1,1.0,0.424577472469583,1.0,1,1.0,1,1.0,282.22,0.2566754,15.298478,0.141725636315619,0.0918865575968915,5399952.8,8106176.51,72806.0,15.50190095594235,15.90813698452426,11.19556738340845,1,4029,74,6,14.89203276247208,0,1,2.482005460412013,0,5,12.41002730206006,0.0,1,2.482005460412013,1.0,2,4.964010920824026,0.0,20,49.64010920824026,0.0,15,37.2300819061802,0.0,4,9.928021841648052,0.0,68,168.7763713080169,0.0,0,0.0,0,2,4.964010920824026,0,16,39.71208736659221,0,12,29.78406552494416,0.0,23,57.0861255894763,1.0,87,215.9344750558452,0.0,18,44.67609828741623,0,-0.1206815774905039,-0.1574225890055809,0.462115516070178,0.2182168141129327,0.0613371165246976,0.1743032470591765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,上海,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
上海,2018,1,58.9036,0.6931471805599453,4.092736603482406,1.0,0.0,0.0,1,1.0,0.424577472469583,1.0,1,1.0,1,1.0,336.65,0.2696187,15.456194,0.148007320714556,0.110486057625076,5548768.1,12251857.39,92460.0,15.52908667734117,16.32118818875504,11.43454221297151,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,上海,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
上海,2019,1,645.4,0.6931471805599453,6.471418507206885,1.0,0.0,0.0,1,1.0,0.424577472469583,1.0,1,1.0,1,1.0,377.73,0.2966714,18.295087,0.154943006637082,0.108618929155882,5906504.0,14223539.1,100587.0,15.59156484389537,16.47040890353594,11.5187882452386,1,5454,94,4,7.334066740007334,0,0,0.0,0,15,27.50275027502751,0.0,3,5.5005500550055,0.0,15,27.50275027502751,0.0,28,51.33846718005134,0.0,9,16.5016501650165,0.0,12,22.002200220022,1.0,129,236.5236523652365,0.0,2,3.667033370003667,0,0,0.0,0,11,20.16868353502017,0,19,34.83681701503483,0.0,46,84.34176751008434,0.0,150,275.0275027502751,1.0,13,23.83571690502384,0,-0.0320900405516966,0.3902007757283482,1.166469952348004,-0.3733937378298224,0.5081935625082186,0.39442566341551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0.0,上海,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
上海,2022,1,670.0621,0.6931471805599453,6.508861681124511,0.0,1.0,0.0,1,1.0,-0.7308908421314958,1.0,1,1.0,1,1.0,458.97,0.4103197,31.385537,0.200005822703168,0.200005822703168,7659941.0,38707329.0,178323.0,15.85151496988654,17.47153954574977,12.09135739939184,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,上海,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
云南,2014,2,3730.1883,1.09861228866811,8.224482040990791,1.0,0.0,0.0,1,1.0,0.424577472469583,0.0,0,0.125,0,16.0,293.51,0.047269,1.4585698,0.0036661336804376,0.0027648172902917,516571.5,479233.28,8124.0,13.15497092555178,13.07994485911796,9.002701007197938,1,19988,369,15,7.504502701620972,0,1,0.5003001801080649,0,38,19.01140684410646,0.0,11,5.503301981188714,1.0,11,5.503301981188714,0.0,43,21.51290774464679,0.0,20,10.0060036021613,0.0,36,18.01080648389033,0.0,134,67.04022413448068,0.0,29,14.50870522313388,0,21,10.50630378226936,0,85,42.52551530918552,0,54,27.01620972583551,0.0,65,32.51951170702421,1.0,190,95.05703422053232,0.0,135,67.54052431458875,0,-0.1692112943683125,-0.6510177057016084,-0.9786731018108508,0.8672853437905313,-0.5996340339602573,-0.2541351545739759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,云南,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
云南,2015,38,256119.8466,3.663561646129646,12.45340466910908,1.0,0.0,0.0,1,1.0,0.424577472469583,0.0,0,0.125,0,16.0,307.94,0.0549881,1.5834279,0.0032483624185614,0.0023944190431575,619587.7,518364.34,11658.0,13.33681114978592,13.1584355622171,9.36383369293329,4,24782,450,11,4.438705512065209,0,4,1.614074731660076,0,51,20.57945282866597,0.0,30,12.10556048745057,0.75,30,12.10556048745057,0.0,140,56.49261560810265,0.25,281,113.3887498991203,0.0,137,55.2820595593576,0.0,303,122.2661609232507,0.0,6,2.421112097490114,0,37,14.9301912678557,0,51,20.57945282866597,0,66,26.63223307239125,0.0,200,80.7037365830038,1.0,721,290.9369703817287,0.0,94,37.93075619401178,0,-0.1759436820473739,0.3171050569374589,1.356101530594063,0.0267320477979893,0.4990876351613828,0.5666462117765039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,1,0.0,云南,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
云南,2016,73,236817.4715,4.30406509320417,12.37504918359505,0.9863013698630136,0.0136986301369863,0.0,1,1.0,0.408749139392856,0.125,1,0.125,1,16.0,340.8,0.0581377,1.708286,0.0034013099438614,0.0025547015840772,741846.9,582559.01,12032.0,13.516899514614,13.27518748057488,9.395408154438163,7,38575,641,25,6.480881399870382,0,6,1.555411535968892,0,70,18.14646791963707,0.0,49,12.70252754374595,0.2857142857142857,43,11.14711600777706,0.1428571428571428,112,29.03434867141932,0.1428571428571428,64,16.59105638366818,0.2857142857142857,84,21.77576150356448,0.0,380,98.5093972780298,0.1428571428571428,35,9.073233959818536,0,41,10.62864549578743,0,119,30.84899546338302,0,101,26.18276085547634,0.0,204,52.88399222294232,0.5714285714285714,528,136.8762151652625,0.4285714285714285,195,50.55087491898898,0,-0.1838244247646593,-0.2418523162504975,-0.4802128473754146,0.3849882268703595,-0.3019631961301904,-0.1123589789185175,0.0,0.2857142857142857,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0,1,0.0,云南,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
云南,2017,126,331686.3266,4.844187086458591,12.71194801678888,0.9523809523809524,0.0476190476190476,0.0,1,1.0,0.3695551717742936,0.125,1,0.125,1,16.0,373.66,0.0703905,1.8671964,0.0047428179922986,0.0036229096367075,885587.7,847624.92,14230.0,13.69400790058423,13.65019468537119,9.56317796268366,9,18489,281,3,1.622586402725945,0,4,2.163448536967927,0,20,10.81724268483963,0.1111111111111111,12,6.49034561090378,0.6666666666666666,33,17.84845042998539,0.0,62,33.53345232300287,0.2222222222222222,52,28.12483098058305,0.0,31,16.76672616150143,0.0,276,149.277949050787,0.0,3,1.622586402725945,0,3,1.622586402725945,0,36,19.47103683271134,0,27,14.60327762453351,0.1111111111111111,107,57.87224836389204,0.8888888888888888,359,194.1695061928714,0.0,42,22.71620963816324,0,-0.3868512742739278,-0.1416277234847649,0.2026897771597093,-0.4051739773512977,-0.1085964068663277,-0.1147039745587844,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0,1,0.0,云南,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
