序号,一级子文件夹,province,相对路径,文件名,year,topic,topic_name,topic_main_dimension,topic_secondary_code,topic_secondary_name,topic_match_strength,char_len,sentence_count,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,z_A_idx,A_share,B_cnt,B_idx,z_B_idx,B_share,C_cnt,C_idx,z_C_idx,C_share,D_cnt,D_idx,z_D_idx,D_share,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share,ppp_governance_capacity_index,ppp_norm_risk_index,text_observed,text_missing,window_flag,region_scheme
30,黑龙江（30）,黑龙江,黑龙江（30）\2023年（1）\黑龙江省财政厅关于废止政府和社会资本合作(...(FBM-CLI.12.7293726).txt,黑龙江省财政厅关于废止政府和社会资本合作(...(FBM-CLI.12.7293726).txt,2023.0,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.875,1340,3,3,22.388059701492537,0.0,0,0.0,0.0,2,14.92537313432836,1.0,0,0.0,0.0,0,0.0,0.0,1,7.462686567164179,0.0,0,0.0,0.0,1,7.462686567164179,0.0,8,59.70149253731344,0.0,1,7.462686567164179,0.0,0,0.0,0.0,0,0.0,0.0,5,37.3134328358209,0.1360988234077905,1.0,1,7.462686567164179,-0.9348298592636588,0.0,9,67.16417910447761,-0.9242788182518452,0.0,1,7.462686567164179,-0.6552966475661574,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5743366180359044,-0.8381351083605537,1,0,扩展政策窗口_2023_2025,扩展/审计窗口
49,青海 19,青海,青海 19\2025（1）\青海省发展和改革委员会、青海省财政厅关于印...(FBM-CLI.12.8785009).txt,青海省发展和改革委员会、青海省财政厅关于印...(FBM-CLI.12.8785009).txt,2025.0,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5,4459,69,14,31.397174254317115,0.0,0,0.0,0.0,1,2.242655303879794,0.0,6,13.455931823278762,0.0,0,0.0,0.0,30,67.27965911639382,0.0,2,4.485310607759588,0.0,2,4.485310607759588,0.0,89,199.5963220453017,1.0,3,6.727965911639381,0.0,3,6.727965911639381,0.0,10,22.426553038797937,0.0,15,33.63982955819691,0.0634492695043142,0.0,36,80.73559093967258,0.3532544505119405,0.0,93,208.56694326082084,0.4083425430518893,1.0,16,35.8824848620767,0.1461118173092416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2750154210227147,0.3025696036243571,1,0,扩展政策窗口_2023_2025,扩展/审计窗口
72,陕西 23,陕西,陕西 23\2025（1）\陕西省交通运输厅关于转发《收费公路政府和社...(FBM-CLI.14.9137287).txt,陕西省交通运输厅关于转发《收费公路政府和社...(FBM-CLI.14.9137287).txt,2025.0,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.125,333,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,30.03003003003003,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.6018154382222797,0.0,0,0.0,-1.0660184556248518,0.0,1,30.03003003003003,-1.274241993198919,1.0,0,0.0,-0.8657365712973513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9806919623486836,-1.0686656733737074,1,0,扩展政策窗口_2023_2025,扩展/审计窗口
75,重庆 3,重庆,重庆 3\2024（1）\重庆市发展和改革委员会关于印发重庆市规范推...(FBM-CLI.14.7834942).txt,重庆市发展和改革委员会关于印发重庆市规范推...(FBM-CLI.14.7834942).txt,2024.0,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.125,3523,65,5,14.19244961680386,0.0,0,0.0,0.0,2,5.676979846721544,0.0,1,2.838489923360772,0.0,0,0.0,0.0,45,127.73204655123476,0.0,4,11.353959693443088,1.0,19,53.93130854385467,0.0,65,184.50184501845013,0.0,2,5.676979846721544,0.0,2,5.676979846721544,0.0,6,17.03093954016463,0.0,7,19.869429463525403,-0.2088755702637184,0.0,46,130.5705364745955,1.229316508809989,0.0,88,249.78711325574795,0.7968135844742219,1.0,10,28.38489923360772,-0.0653122232990549,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6057515076734975,0.6536059566617186,1,0,扩展政策窗口_2023_2025,扩展/审计窗口
130,辽宁省（56）,辽宁,辽宁省（56）\2023年（1）\阜新市人民政府关于印发进一步深化预算管理制...(FBM-CLI.12.7061173).txt,阜新市人民政府关于印发进一步深化预算管理制...(FBM-CLI.12.7061173).txt,2023.0,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375,8126,158,10,12.306177701206003,0.0,3,3.691853310361801,0.0,26,31.99606202313561,0.0,5,6.153088850603003,1.0,11,13.536795471326606,0.0,16,19.689884321929608,0.0,20,24.61235540241201,0.0,1,1.2306177701206005,0.0,78,95.98818606940684,0.0,6,7.383706620723602,0.0,2,2.461235540241201,0.0,38,46.76347526458282,0.0,39,47.99409303470343,0.3473206511891766,0.0,32,39.379768643859215,-0.373750794787052,1.0,99,121.83115924193945,-0.4090810714199591,0.0,46,56.60841742554763,0.73056134880981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1451704050059448,-0.017423505799067,1,0,扩展政策窗口_2023_2025,扩展/审计窗口
131,辽宁省（56）,辽宁,辽宁省（56）\2024年（1）\辽宁省财政厅关于印发《辽宁省政府和社会资本...(FBM-CLI.12.7654838).txt,辽宁省财政厅关于印发《辽宁省政府和社会资本...(FBM-CLI.12.7654838).txt,2024.0,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.125,152,1,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,197.3684210526316,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.6018154382222797,1.0,0,0.0,-1.0660184556248518,0.0,3,197.3684210526316,0.3028043663500031,0.0,0,0.0,-0.8657365712973513,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4550098424990427,-0.5429835535240667,1,0,扩展政策窗口_2023_2025,扩展/审计窗口
207,福建省（48）,福建,福建省（48）\2024年（1）\福建省财政厅关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7924963).txt,福建省财政厅关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7924963).txt,2024.0,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.875,1555,3,5,32.154340836012864,0.0,0,0.0,0.0,4,25.72347266881029,1.0,1,6.430868167202573,0.0,4,25.72347266881029,0.0,3,19.29260450160772,0.0,0,0.0,0.0,1,6.430868167202573,0.0,6,38.58520900321543,0.0,0,0.0,0.0,0,0.0,0.0,1,6.430868167202573,0.0,9,57.87781350482315,0.5427821174379964,1.0,8,51.446945337620576,-0.1616186144724464,0.0,7,45.01607717041801,-1.1330090642675936,0.0,1,6.430868167202573,-0.684392842808734,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2506151871006812,-0.6596735071829247,1,0,扩展政策窗口_2023_2025,扩展/审计窗口
208,福建省（48）,福建,福建省（48）\2025年（1）\福建省财政厅关于废止《福建省财政厅关于进一...(FBM-CLI.12.8615138).txt,福建省财政厅关于废止《福建省财政厅关于进一...(FBM-CLI.12.8615138).txt,2025.0,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.25,272,2,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,1,36.76470588235294,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.6018154382222797,1.0,1,36.76470588235294,-0.419721694139562,0.0,0,0.0,-1.5572538546527988,0.0,0,0.0,-0.8657365712973513,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8595969956715468,-0.9475707066965708,1,0,扩展政策窗口_2023_2025,扩展/审计窗口
240,甘肃 32,甘肃,甘肃 32\2025（1）\甘肃省人民政府办公厅关于印发规范政府和社会...(FBM-CLI.12.9169086).txt,甘肃省人民政府办公厅关于印发规范政府和社会...(FBM-CLI.12.9169086).txt,2025.0,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.25,3077,70,0,0.0,0.0,1,3.2499187520312,0.0,4,12.999675008124798,0.0,0,0.0,1.0,3,9.749756256093598,0.0,12,38.99902502437439,0.0,0,0.0,0.0,9,29.2492687682808,0.0,73,237.2440688982776,0.0,1,3.2499187520312,0.0,6,19.499512512187195,0.0,14,45.49886252843679,0.0,5,16.249593760156,-0.2804618111230615,0.0,15,48.74878128046799,-0.2090503740973958,1.0,82,266.4933376665583,0.9542579714309324,0.0,21,68.24829379265518,1.058793637931052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1549152620701583,0.6013337450881961,1,0,扩展政策窗口_2023_2025,扩展/审计窗口
272,湖南 32,湖南,湖南 32\2024（1）\湖南省发展和改革委员会关于规范实施政府和社...(FBM-CLI.12.8441971).txt,湖南省发展和改革委员会关于规范实施政府和社...(FBM-CLI.12.8441971).txt,2024.0,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.125,3828,72,8,20.89864158829676,0.0,0,0.0,0.0,2,5.224660397074191,0.0,3,7.836990595611285,0.0,3,7.836990595611285,0.0,34,88.81922675026124,0.0,4,10.44932079414838,1.0,22,57.47126436781609,0.0,64,167.1891327063741,0.0,3,7.836990595611285,0.0,3,7.836990595611285,0.0,3,7.836990595611285,0.0,10,26.12330198537095,-0.085198348052847,0.0,40,104.4932079414838,0.7708960597774345,0.0,90,235.1097178683385,0.6584894807110409,1.0,9,23.510971786833856,-0.2027518586018971,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4480623974785427,0.4088778939621927,1,0,扩展政策窗口_2023_2025,扩展/审计窗口
