outcome,event_time,event_order,coef,se,p,ci_low,ci_high,is_reference
exec_share,<=-2,-2,-0.28815979387387686,0.16528945723185695,0.08126994207751587,-0.6121271300483164,0.03580754230056277,0
exec_share,-1 (ref),-1,0.0,0.0,,0.0,0.0,1
exec_share,0,0,-0.026695927157866662,0.14119050886625298,0.850032193938046,-0.3034293245357225,0.2500374702199892,0
exec_share,1,1,-0.3013830360296631,0.20345696828836862,0.13852373054335682,-0.7001586938748656,0.09739262181553937,0
exec_share,2,2,-0.13536885138076898,0.05361483082118962,0.011575108668372618,-0.24045391979030062,-0.030283782971237336,0
exec_share,>=3,3,-0.13958332387436853,0.07568000995141451,0.06512657316473103,-0.28791614337914095,0.008749495630403892,0
ppp_quality_zindex,<=-2,-2,-0.6486044785342918,0.39458846576521794,0.10022801667720599,-1.4219978714341188,0.1247889143655353,0
ppp_quality_zindex,-1 (ref),-1,0.0,0.0,,0.0,0.0,1
ppp_quality_zindex,0,0,-0.3586346815082847,0.6059487989694907,0.553946744506818,-1.5462943274884866,0.8290249644719171,0
ppp_quality_zindex,1,1,-0.6854138301952808,0.5222296453402682,0.18935960821758036,-1.7089839350622065,0.3381562746716449,0
ppp_quality_zindex,2,2,-0.605699463022677,0.3319692208058873,0.0680666801827381,-1.256359135802216,0.0449602097568621,0
ppp_quality_zindex,>=3,3,-0.5579581378198838,0.344376605353641,0.10518984409827167,-1.2329362843130203,0.11702000867325257,0
proc_share,<=-2,-2,0.2255679616806647,0.16445960454269692,0.17019714533270747,-0.09677286322302128,0.5479087865843507,0
proc_share,-1 (ref),-1,0.0,0.0,,0.0,0.0,1
proc_share,0,0,-0.07253055609634543,0.05802013916495353,0.21126566303086447,-0.18625002885965436,0.04118891666696349,0
proc_share,1,1,0.19423541198498986,0.1997649106441053,0.3308913918487577,-0.1973038128774565,0.5857746368474362,0
proc_share,2,2,0.014970493832028713,0.10758143670889098,0.8893276745381847,-0.1958891221173976,0.22583010978145504,0
proc_share,>=3,3,0.029920819919441233,0.10985641551647597,0.7853429402132165,-0.18539775449285167,0.24523939433173414,0
