province,year,ppp_doc_n,ppp_inv,ln_ppp_doc_n,ln_ppp_inv,exec_share,proc_share,prep_share,fiscal_pass_rate,vfm_pass_rate,ppp_quality_zindex,ppp_quality_pca,did_intensity,did_any,treat_share,post,city_n,dfi,digital_econ,base_station_density,software_gdp_share,it_service_gdp_share,rd_expenditure,tech_contract_value,patent_grants,ln_rd_expenditure,ln_tech_contract_value,ln_patent_grants,doc_count,total_chars,total_sentences,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,A_share,B_cnt,B_idx,B_share,C_cnt,C_idx,C_share,D_cnt,D_idx,D_share,z_A_idx,z_B_idx,z_C_idx,z_D_idx,ppp_governance_capacity_index,ppp_norm_risk_index,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share
上海,2015,3,1994.5373,1.3862943611198906,7.5986686163712225,1.0,0.0,0.0,1.0,1.0,0.424577472469583,,0.0,0.0,1.0,0.0,1.0,239.53,0.2207063,10.093841,0.134589397554874,0.0802365917101353,4742443.3,6637837.97,60623.0,15.37206323586203,15.708297012154912,11.012446133258385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上海,2016,1,18.0,0.6931471805599453,2.9444389791664403,1.0,0.0,0.0,1.0,1.0,0.424577472469583,,1.0,1.0,1.0,1.0,1.0,278.11,0.2418914,13.405883,0.13541670732984,0.0865406965912136,4900778.0,7809858.08,64230.0,15.404904730036776,15.87089747811915,11.070241239179373,1.0,4489.0,67.0,3.0,6.683002895967921,0.0,0.0,0.0,0.0,12.0,26.732011583871685,0.0,4.0,8.91067052795723,0.0,4.0,8.91067052795723,0.0,19.0,42.32568500779684,0.0,5.0,11.138338159946535,0.0,22.0,49.00868790376476,1.0,83.0,184.89641345511248,0.0,1.0,2.2276676319893074,0.0,18.0,40.09801737580753,0.0,13.0,28.959679215860994,0.0,15.0,33.415014479839606,0.0,27.0,60.147026063711294,0.0,110.0,245.0434395188238,1.0,32.0,71.28536422365784,0.0,-0.0570189673084284,-0.0959226389512454,0.8090774006595711,0.9735927459868,0.2187119314666324,0.5622491692317085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
上海,2017,1,306.21,0.6931471805599453,5.727531552827043,1.0,0.0,0.0,1.0,1.0,0.424577472469583,,1.0,1.0,1.0,1.0,1.0,282.22,0.2566754,15.298478,0.141725636315619,0.0918865575968915,5399952.8,8106176.51,72806.0,15.501900955942348,15.908136984524257,11.195567383408449,1.0,4029.0,74.0,6.0,14.892032762472075,0.0,1.0,2.482005460412013,0.0,5.0,12.410027302060064,0.0,1.0,2.482005460412013,1.0,2.0,4.964010920824026,0.0,20.0,49.64010920824026,0.0,15.0,37.2300819061802,0.0,4.0,9.928021841648052,0.0,68.0,168.77637130801688,0.0,0.0,0.0,0.0,2.0,4.964010920824026,0.0,16.0,39.71208736659221,0.0,12.0,29.784065524944157,0.0,23.0,57.086125589476296,1.0,87.0,215.93447505584516,0.0,18.0,44.67609828741623,0.0,-0.1206815774905039,-0.1574225890055809,0.462115516070178,0.2182168141129327,0.0613371165246976,0.1743032470591765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上海,2018,1,58.9036,0.6931471805599453,4.092736603482406,1.0,0.0,0.0,1.0,1.0,0.424577472469583,,1.0,1.0,1.0,1.0,1.0,336.65,0.2696187,15.456194,0.148007320714556,0.110486057625076,5548768.1,12251857.39,92460.0,15.529086677341173,16.321188188755045,11.434542212971508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上海,2019,1,645.4,0.6931471805599453,6.471418507206885,1.0,0.0,0.0,1.0,1.0,0.424577472469583,,1.0,1.0,1.0,1.0,1.0,377.73,0.2966714,18.295087,0.154943006637082,0.108618929155882,5906504.0,14223539.1,100587.0,15.591564843895368,16.470408903535944,11.518788245238603,1.0,5454.0,94.0,4.0,7.334066740007334,0.0,0.0,0.0,0.0,15.0,27.502750275027505,0.0,3.0,5.5005500550055,0.0,15.0,27.502750275027505,0.0,28.0,51.33846718005134,0.0,9.0,16.501650165016503,0.0,12.0,22.002200220022,1.0,129.0,236.52365236523653,0.0,2.0,3.667033370003667,0.0,0.0,0.0,0.0,11.0,20.16868353502017,0.0,19.0,34.83681701503483,0.0,46.0,84.34176751008434,0.0,150.0,275.02750275027506,1.0,13.0,23.83571690502384,0.0,-0.0320900405516966,0.3902007757283482,1.1664699523480042,-0.3733937378298224,0.5081935625082186,0.39442566341551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
上海,2022,1,670.0621,0.6931471805599453,6.508861681124511,0.0,1.0,0.0,1.0,1.0,-0.7308908421314958,,1.0,1.0,1.0,1.0,1.0,458.97,0.4103197,31.385537,0.200005822703168,0.200005822703168,7659941.0,38707329.0,178323.0,15.85151496988654,17.471539545749774,12.091357399391836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中央,2016,1,18.0,0.6931471805599453,2.9444389791664403,0.0,1.0,0.0,1.0,1.0,-0.7308908421314958,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,21.0,75670.0,1342.0,75.0,9.911457645037665,0.0,15.0,1.9822915290075327,0.0,109.0,14.404651777454738,0.0952380952380952,65.0,8.589929959032641,0.238095238095238,84.0,11.100832562442184,0.0476190476190476,286.0,37.79569181974362,0.0,194.0,25.637637108497422,0.2857142857142857,193.0,25.50548433989692,0.238095238095238,789.0,104.26853442579622,0.0952380952380952,7.0,0.9250693802035151,0.0,56.0,7.400555041628122,0.0,121.0,15.990485000660764,0.0,199.0,26.298400951499936,0.0952380952380952,435.0,57.48645434121845,0.2857142857142857,1176.0,155.41165587419056,0.6190476190476191,184.0,24.316109422492403,0.0,-0.1817968693112449,-0.1493791395551018,-0.2592812011039083,-0.3597564978391537,-0.196819069990085,-0.2561389461660546,0.0,0.2857142857142857,0.0,0.0,0.0,0.0476190476190476,0.0952380952380952,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.1904761904761904,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0952380952380952,0.0,0.0476190476190476
中央,2017,3,2208.5,1.3862943611198906,7.700521524570795,0.0,1.0,0.0,1.0,1.0,-0.7308908421314958,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,26.0,87744.0,1263.0,79.0,9.00346462436178,0.0,27.0,3.0771334792122538,0.0,386.0,43.99161196207148,0.0,127.0,14.47392414296134,0.1153846153846153,95.0,10.826951130561634,0.0,336.0,38.29321663019694,0.1153846153846153,169.0,19.26057622173596,0.5384615384615384,515.0,58.69347191830781,0.0769230769230769,995.0,113.39806710430342,0.1538461538461538,12.0,1.3676148796498906,0.0,74.0,8.433625091174326,0.0,108.0,12.308533916849017,0.0,492.0,56.07221006564552,0.0,558.0,63.59409190371992,0.2307692307692307,1679.0,191.3521152443472,0.7692307692307693,194.0,22.10977388767323,0.0,0.3402370195744102,-0.0266638117600348,0.169108119716405,-0.4223892951750075,0.1608937758435935,-0.0933149957395457,0.0769230769230769,0.5384615384615384,0.0384615384615384,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.1153846153846153,0.0,0.0384615384615384,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0
云南,2014,2,3730.1883,1.0986122886681098,8.224482040990791,1.0,0.0,0.0,1.0,1.0,0.424577472469583,,0.0,0.0,0.125,0.0,16.0,293.51,0.047269,1.4585698,0.0036661336804376,0.0027648172902917,516571.5,479233.28,8124.0,13.154970925551783,13.079944859117962,9.002701007197938,1.0,19988.0,369.0,15.0,7.504502701620972,0.0,1.0,0.5003001801080649,0.0,38.0,19.011406844106464,0.0,11.0,5.503301981188714,1.0,11.0,5.503301981188714,0.0,43.0,21.51290774464679,0.0,20.0,10.006003602161297,0.0,36.0,18.010806483890335,0.0,134.0,67.04022413448068,0.0,29.0,14.50870522313388,0.0,21.0,10.50630378226936,0.0,85.0,42.52551530918552,0.0,54.0,27.016209725835505,0.0,65.0,32.519511707024215,1.0,190.0,95.05703422053232,0.0,135.0,67.54052431458875,0.0,-0.1692112943683125,-0.6510177057016084,-0.9786731018108508,0.8672853437905313,-0.5996340339602573,-0.2541351545739759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
云南,2015,38,256119.8466,3.6635616461296463,12.45340466910908,1.0,0.0,0.0,1.0,1.0,0.424577472469583,,0.0,0.0,0.125,0.0,16.0,307.94,0.0549881,1.5834279,0.0032483624185614,0.0023944190431575,619587.7,518364.34,11658.0,13.336811149785916,13.1584355622171,9.36383369293329,4.0,24782.0,450.0,11.0,4.438705512065209,0.0,4.0,1.614074731660076,0.0,51.0,20.579452828665968,0.0,30.0,12.105560487450568,0.75,30.0,12.105560487450568,0.0,140.0,56.49261560810265,0.25,281.0,113.38874989912031,0.0,137.0,55.2820595593576,0.0,303.0,122.26616092325074,0.0,6.0,2.4211120974901137,0.0,37.0,14.930191267855704,0.0,51.0,20.579452828665968,0.0,66.0,26.63223307239125,0.0,200.0,80.7037365830038,1.0,721.0,290.93697038172866,0.0,94.0,37.930756194011785,0.0,-0.1759436820473739,0.3171050569374589,1.3561015305940634,0.0267320477979893,0.4990876351613828,0.5666462117765039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
