province,city,city_id,year,first_treat_year,treated,treatment_coverage_slot,post,did_active_implied,treatment_source,source_note,aggregation_weight,city_n_source,treated_city_count_implied_source,treat_share_source,did_intensity_source,threshold_rule,source_file
上海,IMPLIED_SLOT_001,IMPLIED::上海::001,2015,2016.0,0,1,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,1,1,1.0,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
上海,IMPLIED_SLOT_001,IMPLIED::上海::001,2016,2016.0,1,1,1,1,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,1,1,1.0,1.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
上海,IMPLIED_SLOT_001,IMPLIED::上海::001,2017,2016.0,1,1,1,1,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,1,1,1.0,1.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
上海,IMPLIED_SLOT_001,IMPLIED::上海::001,2018,2016.0,1,1,1,1,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,1,1,1.0,1.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
上海,IMPLIED_SLOT_001,IMPLIED::上海::001,2019,2016.0,1,1,1,1,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,1,1,1.0,1.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
上海,IMPLIED_SLOT_001,IMPLIED::上海::001,2022,2016.0,1,1,1,1,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,1,1,1.0,1.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_001,IMPLIED::云南::001,2014,2016.0,0,1,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_002,IMPLIED::云南::002,2014,2016.0,0,1,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_003,IMPLIED::云南::003,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_004,IMPLIED::云南::004,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_005,IMPLIED::云南::005,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_006,IMPLIED::云南::006,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_007,IMPLIED::云南::007,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_008,IMPLIED::云南::008,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_009,IMPLIED::云南::009,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_010,IMPLIED::云南::010,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_011,IMPLIED::云南::011,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_012,IMPLIED::云南::012,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_013,IMPLIED::云南::013,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_014,IMPLIED::云南::014,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_015,IMPLIED::云南::015,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_016,IMPLIED::云南::016,2014,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_001,IMPLIED::云南::001,2015,2016.0,0,1,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_002,IMPLIED::云南::002,2015,2016.0,0,1,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_003,IMPLIED::云南::003,2015,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_004,IMPLIED::云南::004,2015,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_005,IMPLIED::云南::005,2015,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_006,IMPLIED::云南::006,2015,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_007,IMPLIED::云南::007,2015,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_008,IMPLIED::云南::008,2015,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_009,IMPLIED::云南::009,2015,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_010,IMPLIED::云南::010,2015,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
云南,IMPLIED_SLOT_011,IMPLIED::云南::011,2015,,0,0,0,0,implied_from_province_year_treat_share_reconstruction,"Pseudo city-slot only; not an original city name, city code, policy list, or threshold table.",1,16,2,0.125,0.0,not_available_no_threshold_table,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\修改稿\v2说明文件\v2d\appendix_A_treat_share_reconstruction_20260418.csv
