province,year,city_n,treat_share,treated_city_count_implied,post,did_intensity,did_any,baseline_sample_5_3,baseline_controls_complete
上海,2015,1.0,1.0,1.0,0,0.0,0,1,1
上海,2016,1.0,1.0,1.0,1,1.0,1,1,1
上海,2017,1.0,1.0,1.0,1,1.0,1,1,1
上海,2018,1.0,1.0,1.0,1,1.0,1,1,1
上海,2019,1.0,1.0,1.0,1,1.0,1,1,1
上海,2022,1.0,1.0,1.0,1,1.0,1,1,1
云南,2014,16.0,0.125,2.0,0,0.0,0,1,1
云南,2015,16.0,0.125,2.0,0,0.0,0,1,1
云南,2016,16.0,0.125,2.0,1,0.125,1,1,1
云南,2017,16.0,0.125,2.0,1,0.125,1,1,1
云南,2018,16.0,0.125,2.0,1,0.125,1,1,1
云南,2019,16.0,0.125,2.0,1,0.125,1,1,1
云南,2020,16.0,0.125,2.0,1,0.125,1,1,1
云南,2021,16.0,0.125,2.0,1,0.125,1,1,1
内蒙古,2014,12.0,0.1666666666666666,2.0,0,0.0,0,1,1
内蒙古,2015,12.0,0.1666666666666666,2.0,0,0.0,0,1,1
内蒙古,2016,12.0,0.1666666666666666,2.0,1,0.1666666666666666,1,1,1
内蒙古,2017,12.0,0.1666666666666666,2.0,1,0.1666666666666666,1,1,1
内蒙古,2018,12.0,0.1666666666666666,2.0,1,0.1666666666666666,1,1,1
内蒙古,2019,12.0,0.1666666666666666,2.0,1,0.1666666666666666,1,1,1
内蒙古,2020,12.0,0.1666666666666666,2.0,1,0.1666666666666666,1,1,1
内蒙古,2021,12.0,0.1666666666666666,2.0,1,0.1666666666666666,1,1,1
内蒙古,2022,12.0,0.1666666666666666,2.0,1,0.1666666666666666,1,1,1
北京,2014,1.0,1.0,1.0,0,0.0,0,1,1
北京,2015,1.0,1.0,1.0,0,0.0,0,1,1
北京,2016,1.0,1.0,1.0,1,1.0,1,1,1
北京,2017,1.0,1.0,1.0,1,1.0,1,1,1
北京,2018,1.0,1.0,1.0,1,1.0,1,1,1
北京,2019,1.0,1.0,1.0,1,1.0,1,1,1
北京,2020,1.0,1.0,1.0,1,1.0,1,1,1
北京,2021,1.0,1.0,1.0,1,1.0,1,1,1
北京,2022,1.0,1.0,1.0,1,1.0,1,1,1
吉林,2014,8.0,0.375,3.0,0,0.0,0,1,1
吉林,2015,8.0,0.375,3.0,0,0.0,0,1,1
吉林,2016,8.0,0.375,3.0,1,0.375,1,1,1
吉林,2017,9.0,0.3333333333333333,3.0,1,0.3333333333333333,1,1,1
吉林,2018,9.0,0.3333333333333333,3.0,1,0.3333333333333333,1,1,1
吉林,2019,9.0,0.3333333333333333,3.0,1,0.3333333333333333,1,1,1
吉林,2020,9.0,0.3333333333333333,3.0,1,0.3333333333333333,1,1,1
吉林,2021,9.0,0.3333333333333333,3.0,1,0.3333333333333333,1,1,1
吉林,2022,9.0,0.3333333333333333,3.0,1,0.3333333333333333,1,1,1
四川,2014,21.0,0.1428571428571428,3.0,0,0.0,0,1,1
四川,2015,21.0,0.1428571428571428,3.0,0,0.0,0,1,1
四川,2016,21.0,0.1428571428571428,3.0,1,0.1428571428571428,1,1,1
四川,2017,21.0,0.1428571428571428,3.0,1,0.1428571428571428,1,1,1
四川,2018,21.0,0.1428571428571428,3.0,1,0.1428571428571428,1,1,1
四川,2019,21.0,0.1428571428571428,3.0,1,0.1428571428571428,1,1,1
四川,2020,21.0,0.1428571428571428,3.0,1,0.1428571428571428,1,1,1
四川,2021,21.0,0.1428571428571428,3.0,1,0.1428571428571428,1,1,1
四川,2022,21.0,0.1428571428571428,3.0,1,0.1428571428571428,1,1,1
天津,2015,1.0,1.0,1.0,0,0.0,0,1,1
天津,2016,1.0,1.0,1.0,1,1.0,1,1,1
天津,2017,1.0,1.0,1.0,1,1.0,1,1,1
天津,2018,1.0,1.0,1.0,1,1.0,1,1,1
天津,2019,1.0,1.0,1.0,1,1.0,1,1,1
天津,2020,1.0,1.0,1.0,1,1.0,1,1,1
天津,2021,1.0,1.0,1.0,1,1.0,1,1,1
宁夏,2015,5.0,0.6,3.0,0,0.0,0,1,1
宁夏,2016,5.0,0.6,3.0,1,0.6,1,1,1
宁夏,2017,5.0,0.6,3.0,1,0.6,1,1,1
宁夏,2018,5.0,0.6,3.0,1,0.6,1,1,1
宁夏,2020,5.0,0.6,3.0,1,0.6,1,1,1
宁夏,2021,5.0,0.6,3.0,1,0.6,1,1,1
宁夏,2022,5.0,0.6,3.0,1,0.6,1,1,1
安徽,2014,16.0,0.1875,3.0,0,0.0,0,1,1
